00001.jpg,48.86,training
00002.jpg,62.5,training
00003.jpg,77.25,training
00004.jpg,67,training
00005.jpg,22.71,validation
00006.jpg,33.17,validation
00007.jpg,73,training
00008.jpg,20.14,test
00009.jpg,12.5,validation
00010.jpg,56.25,training
00011.jpg,63.13,test
00012.jpg,20.14,test
00013.jpg,25,training
00014.jpg,5.83,validation
00015.jpg,29.11,training
00016.jpg,76.14,training
00017.jpg,56.29,training
00018.jpg,31.57,training
00019.jpg,70.57,validation
00020.jpg,59.88,training
00021.jpg,74.13,training
00022.jpg,58.75,test
00023.jpg,44.13,validation
00024.jpg,36.75,test
00025.jpg,56,training
00026.jpg,71.43,training
00027.jpg,48.88,validation
00028.jpg,8.86,training
00029.jpg,16.86,training
00030.jpg,41,training
00031.jpg,78.83,test
00032.jpg,70.86,validation
00033.jpg,64.83,training
00034.jpg,91.2,test
00035.jpg,38.17,training
00036.jpg,27,training
00037.jpg,64.71,training
00038.jpg,8,training
00039.jpg,63,training
00040.jpg,25.17,training
00041.jpg,22.5,validation
00042.jpg,50.29,validation
00043.jpg,51.83,training
00044.jpg,34.17,test
00045.jpg,8.71,training
00046.jpg,16.67,test
00047.jpg,22.57,test
00048.jpg,22.43,validation
00049.jpg,36.83,training
00050.jpg,58.83,training
00051.jpg,11.67,test
00052.jpg,75.83,validation
00053.jpg,71,training
00054.jpg,19.33,training
00055.jpg,14,validation
00056.jpg,67,validation
00057.jpg,65.56,training
00058.jpg,45.7,test
00059.jpg,32.6,training
00060.jpg,16.13,validation
00061.jpg,78,validation
00062.jpg,32.5,training
00063.jpg,37.6,training
00064.jpg,31.33,training
00065.jpg,32.78,test
00066.jpg,67.63,validation
00067.jpg,67.86,validation
00068.jpg,18.63,training
00069.jpg,66.88,test
00070.jpg,56,training
00071.jpg,46.22,test
00072.jpg,21.88,training
00073.jpg,34.4,training
00074.jpg,38.43,training
00075.jpg,39.88,test
00076.jpg,28.38,training
00077.jpg,49.88,validation
00078.jpg,67.14,training
00079.jpg,26.63,training
00080.jpg,41.88,validation
00081.jpg,7.43,training
00082.jpg,73.38,validation
00083.jpg,61.71,training
00084.jpg,46.71,validation
00085.jpg,16.57,test
00086.jpg,32.86,test
00087.jpg,56.57,test
00088.jpg,75.86,test
00089.jpg,73.88,validation
00090.jpg,54.71,training
00091.jpg,78.86,training
00092.jpg,49.86,training
00093.jpg,34.29,training
00094.jpg,34,test
00095.jpg,47.86,training
00096.jpg,34.9,training
00097.jpg,58.38,validation
00098.jpg,49.14,test
00099.jpg,41.14,training
00100.jpg,50.63,test
00101.jpg,16,test
00102.jpg,35.29,training
00103.jpg,42.5,validation
00104.jpg,58.88,training
00105.jpg,47.88,training
00106.jpg,68.86,training
00107.jpg,38.88,training
00108.jpg,64,training
00109.jpg,60.13,validation
00110.jpg,37.14,test
00111.jpg,43.57,test
00112.jpg,27.88,training
00113.jpg,20.5,training
00114.jpg,14.57,training
00115.jpg,78.14,test
00116.jpg,54.63,validation
00117.jpg,75.43,training
00118.jpg,39.86,training
00119.jpg,53.63,test
00120.jpg,51.29,validation
00121.jpg,64.57,training
00122.jpg,38.57,training
00123.jpg,26.57,training
00124.jpg,67.14,training
00125.jpg,43,training
00126.jpg,82.14,training
00127.jpg,77.38,validation
00128.jpg,74,training
00129.jpg,44,training
00130.jpg,12.83,validation
00131.jpg,42.44,training
00132.jpg,56.89,training
00133.jpg,71.89,training
00134.jpg,53,training
00135.jpg,77.56,validation
00136.jpg,21.75,training
00137.jpg,52.7,test
00138.jpg,20,training
00139.jpg,52.78,training
00140.jpg,22,training
00141.jpg,30.8,training
00142.jpg,15.6,training
00143.jpg,75.3,training
00144.jpg,29.2,training
00145.jpg,40.67,training
00146.jpg,34,validation
00147.jpg,37.8,training
00148.jpg,80.44,training
00149.jpg,68.89,training
00150.jpg,79,validation
00151.jpg,42.22,validation
00152.jpg,21.7,training
00153.jpg,81.89,training
00154.jpg,91.38,training
00155.jpg,44.63,training
00156.jpg,34,training
00157.jpg,79.89,test
00158.jpg,49.7,training
00159.jpg,71.67,training
00160.jpg,46.8,validation
00161.jpg,37.18,training
00162.jpg,31.18,test
00163.jpg,80.56,training
00164.jpg,45.11,training
00165.jpg,79.89,training
00166.jpg,25.82,training
00167.jpg,32.75,training
00168.jpg,73.7,training
00169.jpg,77.78,training
00170.jpg,73.11,training
00171.jpg,62.5,training
00172.jpg,62.6,test
00173.jpg,35.11,training
00174.jpg,79,validation
00175.jpg,23,training
00176.jpg,78.91,test
00177.jpg,79.2,training
00178.jpg,53.67,training
00179.jpg,71.33,test
00180.jpg,75.2,test
00181.jpg,43.56,training
00182.jpg,80.5,test
00183.jpg,59.4,training
00184.jpg,54.4,validation
00185.jpg,64.89,training
00186.jpg,64.25,training
00187.jpg,26.6,test
00188.jpg,67.7,training
00189.jpg,44.2,validation
00190.jpg,57.44,training
00191.jpg,33.38,training
00192.jpg,60.78,training
00193.jpg,37.11,validation
00194.jpg,62,training
00195.jpg,41.5,training
00196.jpg,10.88,training
00197.jpg,39.33,training
00198.jpg,42.25,test
00199.jpg,51,training
00200.jpg,75.38,training
00201.jpg,34.5,test
00202.jpg,64.75,training
00203.jpg,76.44,training
00204.jpg,78.38,training
00205.jpg,34.63,training
00206.jpg,12.75,training
00207.jpg,57.56,training
00208.jpg,46.86,training
00209.jpg,34.29,training
00210.jpg,85.5,test
00211.jpg,46.92,training
00212.jpg,34.42,validation
00213.jpg,20.18,training
00214.jpg,18.38,training
00215.jpg,13.83,training
00216.jpg,73.23,training
00217.jpg,21.62,training
00218.jpg,48,validation
00219.jpg,61.42,validation
00220.jpg,14.64,training
00221.jpg,78.5,training
00222.jpg,58.08,test
00223.jpg,50.83,training
00224.jpg,19.08,training
00225.jpg,27.17,training
00226.jpg,35.46,training
00227.jpg,82.31,training
00228.jpg,73.83,validation
00229.jpg,11.54,training
00230.jpg,48,validation
00231.jpg,62.43,training
00232.jpg,53.08,training
00233.jpg,71.06,training
00234.jpg,74.85,test
00235.jpg,18.53,training
00236.jpg,47.67,training
00237.jpg,20.92,training
00238.jpg,17,test
00239.jpg,53.75,test
00240.jpg,48,training
00241.jpg,43,training
00242.jpg,30.14,training
00243.jpg,38.77,test
00244.jpg,26,test
00245.jpg,25.83,validation
00246.jpg,75.62,training
00247.jpg,32.23,training
00248.jpg,33.77,training
00249.jpg,24.77,training
00250.jpg,9.15,training
00251.jpg,72.79,training
00252.jpg,44.54,training
00253.jpg,32.77,training
00254.jpg,42.15,training
00255.jpg,57.92,training
00256.jpg,26.54,training
00257.jpg,22.08,training
00258.jpg,57,validation
00259.jpg,52.33,training
00260.jpg,70.09,validation
00261.jpg,30.21,training
00262.jpg,67.85,training
00263.jpg,46.58,training
00264.jpg,70.36,training
00265.jpg,36.85,test
00266.jpg,63.83,test
00267.jpg,67.15,validation
00268.jpg,24.75,training
00269.jpg,16.31,training
00270.jpg,69.58,validation
00271.jpg,66.92,training
00272.jpg,17.09,validation
00273.jpg,75.38,test
00274.jpg,59.62,test
00275.jpg,62.25,training
00276.jpg,73.08,test
00277.jpg,69.07,training
00278.jpg,20.75,training
00279.jpg,85.08,training
00280.jpg,40.46,test
00281.jpg,81.18,training
00282.jpg,75.13,validation
00283.jpg,65.5,test
00284.jpg,27.09,training
00285.jpg,63.6,training
00286.jpg,65.56,test
00287.jpg,48.2,training
00288.jpg,74.2,training
00289.jpg,45.3,training
00290.jpg,20.67,training
00291.jpg,21.2,training
00292.jpg,27.78,training
00293.jpg,58.75,training
00294.jpg,55.78,validation
00295.jpg,73.89,validation
00296.jpg,65.8,training
00297.jpg,34.64,training
00298.jpg,68.9,training
00299.jpg,46.45,training
00300.jpg,67.5,test
00301.jpg,58.9,test
00302.jpg,34.64,training
00303.jpg,7.4,training
00304.jpg,60.9,test
00305.jpg,68.7,validation
00306.jpg,38.09,validation
00307.jpg,22.33,training
00308.jpg,60.17,training
00309.jpg,42.82,training
00310.jpg,62.8,training
00311.jpg,58.38,validation
00312.jpg,16.83,validation
00313.jpg,54.55,training
00314.jpg,25.45,test
00315.jpg,19.09,training
00316.jpg,36.2,training
00317.jpg,37.83,training
00318.jpg,40,validation
00319.jpg,28.18,validation
00320.jpg,27.3,training
00321.jpg,44,validation
00322.jpg,28.91,test
00323.jpg,17.45,training
00324.jpg,31.7,training
00325.jpg,73.9,training
00326.jpg,28.64,training
00327.jpg,59.92,training
00328.jpg,78.9,validation
00329.jpg,33.55,training
00330.jpg,52.7,training
00331.jpg,75.7,validation
00332.jpg,39.5,training
00333.jpg,61.5,validation
00334.jpg,74.9,training
00335.jpg,31.45,training
00336.jpg,32.5,test
00337.jpg,67.43,training
00338.jpg,53.5,validation
00339.jpg,42,training
00340.jpg,24.4,training
00341.jpg,48,training
00342.jpg,79.91,training
00343.jpg,82.78,training
00344.jpg,46.7,training
00345.jpg,28.5,training
00346.jpg,78.45,validation
00347.jpg,25.92,training
00348.jpg,55.25,test
